2019-09-11 18:46:29 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/clear-past-dues/ --> returned OK --> Response code-200
2019-09-11 18:46:30 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/first-time-borrower/ --> returned OK --> Response code-200
2019-09-11 18:46:32 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/# --> returned OK --> Response code-200
2019-09-11 18:46:35 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/offers/1/0/?utm_source=pre-login-home-icon --> returned OK --> Response code-200
2019-09-11 18:46:37 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/offers/2/0/?utm_source=pre-login-home-icon --> returned OK --> Response code-200
2019-09-11 18:46:39 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/offers/3/0/?utm_source=pre-login-home-icon --> returned OK --> Response code-200
2019-09-11 18:46:42 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/offers/52/0/?utm_source=pre-login-home-icon --> returned OK --> Response code-200
2019-09-11 18:46:44 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/offers/21/0/?utm_source=pre-login-home-icon --> returned OK --> Response code-200
2019-09-11 18:46:47 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/offers/23/0/?utm_source=pre-login-home-icon --> returned OK --> Response code-200
2019-09-11 18:46:48 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/getstarted/?utm_source=home&utm_content=check-credit-score-home-1&utm_medium=CM --> returned OK --> Response code-200
2019-09-11 18:46:50 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/#credit-info-1 --> returned OK --> Response code-200
2019-09-11 18:46:52 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/what-is-a-good-credit-score/ --> returned OK --> Response code-200
2019-09-11 18:46:53 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/#credit-info-3 --> returned OK --> Response code-200
2019-09-11 18:46:54 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/#credit-info-4 --> returned OK --> Response code-200
2019-09-11 18:46:56 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/what-is-credit-score-credit-rating/ --> returned OK --> Response code-200
2019-09-11 18:46:57 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/#credit-info-5 --> returned OK --> Response code-200
2019-09-11 18:46:59 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/article-how-can-i-improve-my-credit-score/ --> returned OK --> Response code-200
2019-09-11 18:47:01 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/#credit-info-6 --> returned OK --> Response code-200
2019-09-11 18:47:02 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/free-credit-score-analysis-online/ --> returned OK --> Response code-200
2019-09-11 18:47:04 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/#credit-info-7 --> returned OK --> Response code-200
